id,coordinates/0,coordinates/1,status
LINK-000727,-73.9795852,40.75254482,active
LINK-000731,-73.97924601,40.75300305,active
LINK-000742,-73.97652976,40.75674218,active
LINK-000748,-73.97534075,40.75863294,active
LINK-000749,-73.97514297,40.75864931,active
LINK-000752,-73.974008,40.759712,active
LINK-000753,-73.9736332,40.76024945,active
LINK-000755,-73.97310142,40.76096333,active
LINK-000756,-73.97274462,40.76151071,active
LINK-000758,-73.97235756,40.76246695,active
LINK-000761,-73.971424,40.763742,active
LINK-000763,-74.00998457,40.70331108,active
LINK-000771,-74.00908241,40.7039098,active
LINK-000772,-74.00732188,40.70504418,active
LINK-000774,-74.00624351,40.70624185,active
LINK-000779,-73.95373886,40.74355856,active
LINK-000780,-73.807661,40.701827,active
LINK-000781,-73.806477,40.701853,active
LINK-000783,-73.80035218,40.70345249,active
LINK-000784,-73.79869023,40.70402028,active
LINK-000785,-73.799923,40.703352,active
LINK-000789,-73.79365361,40.70584719,active
LINK-000791,-73.795897,40.705143,active
LINK-000793,-73.79375474,40.70599343,active
LINK-000794,-73.80201889,40.70273351,active
LINK-000797,-73.79934332,40.70376856,active
LINK-000798,-73.79901751,40.70389528,active
LINK-000799,-73.79847028,40.7039284,active
LINK-000801,-73.79786531,40.7043551,active
LINK-000802,-73.79774312,40.70421585,active
LINK-000804,-73.79680056,40.70460911,active
LINK-000805,-73.79662039,40.70468655,active
LINK-000824,-73.96580928,40.76210714,active
LINK-000825,-73.965443,40.762896,active
LINK-000826,-73.965653,40.763037,active
LINK-000827,-73.96407554,40.76465351,active
LINK-000828,-73.96404982,40.76483327,active
LINK-000830,-73.96318025,40.76590165,active
LINK-000832,-73.963554,40.76606,active
LINK-000833,-73.96313599,40.76658802,active
LINK-000834,-73.96252262,40.76733135,active
LINK-000835,-73.96228982,40.76723406,active
LINK-000836,-73.961971,40.767655,active
LINK-000837,-73.96225464,40.76785489,active
LINK-000838,-73.96132436,40.76910162,active
LINK-000839,-73.96096732,40.76893883,active
LINK-000842,-73.960254,40.770545,active
LINK-000843,-73.959928,40.770456,active
LINK-000845,-73.959496,40.770946,active
LINK-000849,-73.958697,40.772144,active
LINK-000850,-73.95854022,40.77235777,active
LINK-000851,-73.95895916,40.77237577,active
LINK-000852,-73.95876684,40.7724771,active
LINK-000853,-73.958474,40.773003,active
LINK-000854,-73.95822043,40.77281462,active
LINK-000857,-73.957965,40.773727,active
LINK-000858,-73.957499,40.774207,active
LINK-000860,-73.95709,40.77435,active
LINK-000862,-73.956665,40.774855,active
LINK-000864,-73.95593074,40.77636605,active
LINK-000865,-73.955586,40.776833,active
LINK-000867,-73.95513841,40.77703019,active
LINK-000868,-73.954752,40.777561,active
LINK-000869,-73.955153,40.777528,active
LINK-000870,-73.954541,40.778272,active
LINK-000871,-73.954428,40.778003,active
LINK-000872,-73.97425395,40.76298745,active
LINK-000877,-73.95399,40.7786,active
LINK-000878,-73.95371545,40.77860514,active
LINK-000879,-73.953663,40.778792,active
LINK-000880,-73.95398,40.779038,active
LINK-000882,-73.953715,40.779535,active
LINK-000883,-73.953327,40.779367,active
LINK-000885,-73.953537,40.779635,active
LINK-000886,-73.9524,40.780782,active
LINK-000887,-73.952279,40.781503,active
LINK-000888,-73.951699,40.782159,active
LINK-000889,-73.95125729,40.78276562,active
LINK-000890,-73.9505618,40.78328877,active
LINK-000891,-73.94987392,40.78466254,active
LINK-000892,-73.94903127,40.78581769,active
LINK-000893,-73.947944,40.787309,active
LINK-000896,-73.946262,40.789608,active
LINK-000897,-73.945683,40.790401,active
LINK-000898,-73.945348,40.790862,active
LINK-000899,-73.94489482,40.79148064,active
LINK-000900,-73.94421805,40.7912824,active
LINK-000901,-73.94423011,40.79239362,active
LINK-000902,-73.94398813,40.7922967,active
LINK-000903,-73.94378353,40.7930088,active
LINK-000904,-73.94285894,40.79427312,active
LINK-000905,-73.94239654,40.79491138,active
LINK-000906,-73.940337,40.797303,active
LINK-000907,-73.94025621,40.79783525,active
LINK-000908,-73.940035,40.797709,active
LINK-000909,-73.94003626,40.79813946,active
LINK-000911,-73.937249,40.80154018,active
LINK-000912,-73.93728907,40.80189861,active
LINK-000913,-73.93673443,40.8026609,active
LINK-000914,-73.93627,40.80287,active
LINK-000915,-73.93610685,40.80351567,active
LINK-000916,-73.936139,40.803731,active
LINK-000918,-73.96358324,40.76587983,active
LINK-000919,-73.98184115,40.76956574,active
LINK-000920,-73.98192926,40.76981619,active
LINK-000922,-73.98250198,40.76983868,active
LINK-000924,-73.98193,40.773806,active
LINK-000926,-73.98200508,40.77472311,active
LINK-000927,-73.982388,40.774913,active
LINK-000928,-73.982571,40.774894,active
LINK-000929,-73.98251236,40.77475903,active
LINK-000930,-73.98239982,40.77464584,active
LINK-000932,-73.98182879,40.77539028,active
LINK-000933,-73.981973,40.775532,active
LINK-000934,-73.98235021,40.77579496,active
LINK-000936,-73.98196294,40.77600984,active
LINK-000937,-73.98193739,40.77631103,active
LINK-000938,-73.98232347,40.77662556,installed
LINK-000939,-73.98242959,40.77647319,active
LINK-000942,-73.98190427,40.77713717,active
LINK-000944,-73.98225464,40.77814804,active
LINK-000945,-73.98217819,40.77860683,active
LINK-000946,-73.98205439,40.77909594,active
LINK-000947,-73.98198995,40.77933083,active
LINK-000949,-73.98139599,40.78001947,active
